ROI,Xpos,Ypos
roi 1,722.9311907,2054.050629
roi 2,844.9833425,2303.682892
roi 3,735.2147143,1645.434845
roi 4,797.1483113,1772.693819
roi 5,879.3432752,2014.268113
roi 6,737.4750023,1429.077484
roi 7,854.5488104,1810.440061
roi 8,943.7944112,1813.556586
roi 9,896.6706816,1751.799826
roi 10,988.2018606,2025.983789
roi 11,975.3844499,2341.850885
roi 12,871.5276976,2091.861193
roi 13,994.9241268,1714.073719
roi 14,997.7799557,1939.346616
roi 15,1239.252946,1658.912197
roi 16,548.4081345,1301.598433
roi 17,829.1718122,1182.496008
roi 18,657.314478,1658.599741
roi 19,903.5346918,2089.149426
roi 20,1006.454764,2088.470001
roi 21,1001.280917,2138.563785
roi 22,880.8758827,2128.780406
roi 23,1165.515392,2074.470145
roi 24,679.6042845,1563.073896
roi 25,1106.466304,1931.625233
roi 26,1087.430341,1122.724822
roi 27,1450.078027,1827.406924
roi 28,957.2049894,860.9109493
roi 29,923.5294153,1323.836478
roi 30,712.5625681,1120.080735
roi 31,693.8218015,1295.507086
roi 32,989.9302048,1311.208685
roi 33,685.9879306,1967.625624
roi 34,846.070964,2250.042752
roi 35,1540.599226,1665.094335
roi 36,926.7103939,767.5131412
roi 37,588.7687232,721.547028
roi 38,916.0192263,2052.67813
roi 39,775.1326329,1717.75389
roi 40,876.5384567,1692.494211
roi 41,1371.550142,720.4991849
roi 42,1492.618118,1142.905715
roi 43,923.9620135,2125.604537
roi 44,1063.692148,2097.09368
roi 45,1685.899433,1367.267657
roi 46,899.3274371,1807.536044
roi 47,857.2524709,1927.971729
roi 48,748.3249125,1889.501062
roi 49,1172.319869,1410.506482
roi 50,1450.71995,1588.347137
roi 51,1195.977024,1500.687041
roi 52,1302.113217,1233.35162
roi 53,1302.619362,982.3645719
roi 54,1072.43454,1377.462713
roi 55,937.5897964,1223.600663
roi 56,1109.274777,1365.689709
roi 57,1582.184824,1068.592945
roi 58,1118.139232,1836.175411
roi 59,1416.640659,1786.11602
roi 60,1477.961502,1177.294685
roi 61,1388.714672,939.8961934
roi 62,1578.163546,1303.156828
roi 63,1264.48365,1476.273015
roi 64,1256.465667,1815.539864
roi 65,732.787909,1856.103311
roi 66,683.7907335,1825.169663
roi 67,1476.804648,1687.321476
roi 68,1043.083791,1017.301679
roi 69,1434.950245,1505.878484
roi 70,983.0341917,1457.50914
roi 71,1079.051258,473.4956532
roi 72,1155.24715,620.0171084
roi 73,1565.682811,933.8658946
roi 74,1428.850526,819.5986415
roi 75,1136.64741,1222.428778
roi 76,1428.064854,1062.960138
roi 77,1371.001162,1078.456209
roi 78,1061.156224,792.206466
roi 79,589.9616232,1440.804263
roi 80,836.9034324,1645.581914
roi 81,1524.13922,1224.635691
roi 82,1374.402129,1423.520313
roi 83,982.9492644,948.1859104
roi 84,525.7403284,1449.064671
roi 85,637.1616084,1405.02726
roi 86,829.9607622,919.7775226
roi 87,913.7960822,1509.516265
roi 88,1193.74698,870.0221723
roi 89,1539.279828,1478.422907
roi 90,840.7463106,670.4262482
roi 91,1465.68771,828.0333789
roi 92,1707.704484,1029.660564
roi 93,891.9673138,994.7919344
roi 94,861.8787375,1436.045658
roi 95,841.7994929,1407.8999
roi 96,1076.217857,2020.717628
roi 97,1314.177872,1442.266603
roi 98,722.9098078,893.4873434
roi 99,388.6706658,1187.83759
roi 100,1265.305299,1306.528286
roi 101,1598.522948,771.3153774
roi 102,1685.836325,668.9261976
roi 103,1106.793678,2058.718525
roi 104,1204.044492,1877.374309
roi 105,1072.874662,2211.22367
roi 106,405.8058874,1158.291118
roi 107,1434.646414,1349.613252
roi 108,1627.353004,995.9413245
roi 109,1163.105646,1759.659828
roi 110,1331.131232,1704.735848
roi 111,983.4570486,1032.059341
roi 112,1233.466613,455.5565211
roi 113,1425.668509,650.9054941
roi 114,1301.230265,789.5271065
roi 115,860.2183332,1903.963786
roi 116,1000.201543,812.37394
roi 117,657.5286535,825.1289319
roi 118,792.5019049,1540.210039
roi 119,1022.961269,1549.034852
roi 120,1361.352747,1292.011451
roi 121,1545.670405,1419.482605
roi 122,1248.717826,758.0209165
roi 123,1052.676091,640.2630967
roi 124,1426.497512,1168.445531
roi 125,1605.708565,980.9710449
roi 126,1604.465256,1257.400753
roi 127,1459.799079,1065.230206
roi 128,1653.438694,1123.502452
roi 129,914.952526,1615.969654
roi 130,1250.188455,626.9067091
roi 131,1186.708368,1985.43029
roi 132,1188.051635,771.4662271
roi 133,1154.360629,958.1430353
roi 134,1695.379233,872.4436524
roi 135,936.1766023,2255.595006
roi 136,1456.794191,745.6018321
roi 137,1409.965396,1867.279398
roi 138,1619.894486,1327.320643
roi 139,1394.888087,836.8792297
roi 140,1589.609285,1532.303869
roi 141,1246.618479,1752.64789
roi 142,1329.426914,2029.101655
roi 143,867.3453308,2339.567317
roi 144,1239.216282,1499.218508
roi 145,1126.664118,848.0412503
roi 146,1220.715222,1067.83825
roi 147,1352.444908,1199.367469
roi 148,1419.144864,1455.761118
roi 149,756.3969597,1972.055416
roi 150,376.1227214,1260.355827
roi 151,1312.597704,520.8679423
roi 152,1652.489561,1221.759183
roi 153,1650.619709,806.1957764
roi 154,1594.45451,560.2968442
roi 155,1098.852598,1281.220118
roi 156,1352.310408,627.4944052
roi 157,747.0008616,1187.51075
roi 158,1078.038255,1487.633085
roi 159,795.5588052,1291.06495
