ROI,Xpos,Ypos
roi 1,916.7306257,1620.602934
roi 2,952.5079436,1539.188919
roi 3,622.8842772,1019.240595
roi 4,947.1274558,1813.327459
roi 5,1293.968506,1389.263964
roi 6,818.1586406,1485.310755
roi 7,713.8225702,1456.68643
roi 8,934.3334974,1411.372929
roi 9,798.7342228,1639.353085
roi 10,1099.769697,941.2824243
roi 11,671.006982,874.3303755
roi 12,983.6527871,1243.356496
roi 13,728.7536664,1056.474111
roi 14,1026.080766,978.7842094
roi 15,678.7106812,1172.995394
roi 16,655.4534321,1516.007114
roi 17,730.2025259,940.7025116
roi 18,734.4135049,1808.568429
roi 19,847.5018749,1910.13221
roi 20,686.6330495,1960.634169
roi 21,576.0860286,1155.573588
roi 22,602.6238086,763.9004339
roi 23,453.2199284,1294.649047
roi 24,914.9048752,488.9542682
roi 25,669.3545453,1013.428395
roi 26,771.7548415,1602.315318
roi 27,956.8581996,1900.483529
roi 28,1221.305024,656.0772566
roi 29,1052.749795,1513.946896
roi 30,845.5377925,1424.337551
roi 31,721.3672029,1678.282514
roi 32,991.4074559,1917.834854
roi 33,695.1946497,1632.213143
roi 34,758.548141,1357.007769
roi 35,617.080134,1358.249884
roi 36,758.1186078,1247.326929
roi 37,780.5481462,1258.216394
roi 38,529.105834,1579.262993
roi 39,1300.209441,492.607325
roi 40,824.4164951,1463.488151
roi 41,555.1841905,1401.77274
roi 42,537.8903515,1007.491877
roi 43,1100.712103,579.2661022
roi 44,733.8048207,2001.489356
roi 45,787.47802,1521.698871
roi 46,940.0924992,1021.188792
roi 47,1038.73392,1312.305932
roi 48,1017.978602,1170.317591
roi 49,958.1648516,552.2636459
roi 50,1079.065954,1139.784938
roi 51,1492.250268,1131.154458
roi 52,1104.422919,1571.123607
roi 53,1422.657102,989.5113278
roi 54,843.8189419,1113.593229
roi 55,1108.227388,992.7042548
roi 56,1220.257659,1367.878265
roi 57,684.5937248,195.1247226
roi 58,853.4937307,1188.631801
roi 59,983.7797414,808.3497809
roi 60,1516.667742,910.4914685
roi 61,861.3837901,1296.020189
roi 62,933.3438333,1132.53164
roi 63,786.67135,512.9316859
roi 64,522.9011219,873.1500197
roi 65,1074.670951,1104.97032
roi 66,1250.973069,849.8971442
roi 67,916.5184498,1741.158005
roi 68,1076.543244,495.3869186
roi 69,545.4025197,282.7232281
roi 70,1052.09392,1653.043025
roi 71,1429.961366,751.1747754
roi 72,1254.727196,1028.172906
roi 73,1493.205212,1058.37407
roi 74,1170.319913,550.244207
roi 75,1334.017304,847.6315065
roi 76,1033.235768,1613.334388
roi 77,1535.011297,995.700945
roi 78,1596.771834,752.9975901
roi 79,1182.207222,1052.09359
roi 80,935.5132668,706.1170905
roi 81,1017.720181,505.6235088
roi 82,952.5346425,403.1236949
roi 83,1309.438648,1339.849421
roi 84,785.9459216,298.0659551
roi 85,1074.303681,315.5414063
roi 86,1161.597638,338.9110709
roi 87,1386.764779,510.1637821
roi 88,1359.619917,534.2050291
roi 89,1610.230099,356.5336131
roi 90,1013.523116,701.5376597
roi 91,685.9970115,1285.484664
roi 92,1406.340495,1378.289985
roi 93,1251.6565,1292.668549
roi 94,1115.876255,1704.738115
roi 95,1449.231665,465.9716011
roi 96,913.9560631,1979.379835
roi 97,1634.333651,941.5842556
roi 98,1669.328937,813.0682838
roi 99,1146.047168,1492.53175
roi 100,1153.033476,858.0106925
roi 101,1280.697572,620.8086372
roi 102,1436.625515,611.5909222
roi 103,1374.589784,389.5668234
roi 104,1078.083944,1434.242954
roi 105,1351.257178,1146.95245
roi 106,1279.724886,1560.162451
roi 107,1587.708441,1205.695195
roi 108,1421.886581,1237.37992
roi 109,1405.692766,1505.751066
roi 110,1365.090224,1434.850539
roi 111,1130.711105,1334.983046
roi 112,656.720739,1796.131356
roi 113,842.9003842,2011.917638
roi 114,823.4623259,1699.247714
roi 115,1318.445336,1415.455355
roi 116,1447.148414,675.0122982
roi 117,1334.30617,1055.459924
roi 118,1182.405306,480.0024425
roi 119,1267.938059,981.6514967
roi 120,1568.061306,611.4261643
roi 121,1505.331801,840.4417451
roi 122,1463.184577,1259.061598
roi 123,798.9123936,1191.535487
roi 124,819.3728031,645.3830774
roi 125,776.1783527,577.6363975
roi 126,842.6407155,1014.000423
