Odorant #,*-C(=O)-[OH1],[CH1]=O,C-C(=O)-[O]-C,C-C(=O)-[S]-C,[!O&!S]-C(=O)-[!O&!S],"[OX2H][CX4&!$(C([OX2H])[O,S,#7,#15]),c]",c1ccccc1,C~C(~C)~C~C~C~C(~C)~C,[#8]1~[#6]~[#6]~[#6]~[#6]1,o1cccc1,[NH2][C],[NH](C)C,[NH0](C)(C)C,"[N,n]1~[C,c]~[C,c]~[C,c]~[C,c]~[C,c]1","[n,N]1~[C,c]~[C,c]~[C,c]~[C,c]1","[N,n]1~[C,c]~[C,c]~[N,n]~[C,c]~[C,c]1",[#16]1~[#6]~[#7]~[#6]~[#6]1,[!#8]~C-S-C~[!#8],"[$(C-S-S-C),$(C-S-S-S-C)]",[#6]-[SH],[#6]=[#6],[#16],[#7],[#8],[R],[CH3]-*-[CH2]-*,*!@*@*!@*,*!@*@*@*!@*,*1(!@*)@*@*@*(!@*)@*@*@1,C~C(~C)~[R1]1~[R1]~[R1]~[R1](~C)~[R1]~[R1]~1,C~C(~C)~2~[R2]1~[R2]~2~[R1]~[R1](~C)~[R1]~[R1]~1,C~C(~C)~[R2]12~[R1]~[R2]~2~[R1](~C)~[R1]~[R1]~1,C~C2(~C)~[R]1~[R]~[R]~2~[R](~C)~[R]~[R]~1,[!H]~[!H]2(~[!H])~[R]1~[R]~[R]~[R](~[!H])~2~[R]~[R]~1,[!H]~[!H]2(~[!H])~[R]~[R](~[!H])1~[R]~[R]~2~[R]~[R]~1,C(-C)(-C)(-C)-C,C-C-C-C-C-C,C-C-C-C-C-C-C,C-C-C-C-C-C-C-C,C-C-C-C-C-C-C-C-C,C-C-C-C-C-C-C-C-C-C,C-C-C-C-C-C-C-C-C-C-C
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
